,source,text_norm
5964,__label__mchsgov,фотоднямчс<><>работа жёсткий условие
10388,__label__mospolice,оперативник увд юзао задержать подозревать мошенничество сфера страхов выплата ><>сотрудник уголовный розыск увд юзао гу мвд россия год москва задержать два житель волгоград подозрение мошенничество сфера выплата страхов полис  >установить подозревать состав организовать группа планировать похитить крупный сумма денежный средство принадлежащий страховой компания согласно разработать план злоумышленник совершать инсценировка авария дорогостоящий иномарка обращаться страховой компания оформление страхов случай  >как выяснить сотрудник полиция мужчина приобрести дорогостоящий иномарка зарегистрировать знакомый женщина осведомить противоправный намерение оформить страховка  >поздний злоумышленник нанести повреждение дать автомобиль разбить передний стекло повредить обшивка салон сообщить ложный сведение страховой случай прибыть сотрудник полиция далее подозревать обратиться страховой компания возмещение материальный ущерб размер 3 миллион рубль довести свой преступный умысел конец выплата отказать  >такж дать автомобиль злоумышленник специально наехать дорожный препятствие вызвать сотрудник дпс подготовить заключение экспертиза подать заявка страховой компания выплата денежный средство размер свыше 4 миллион рубль страховой компания снова отказать возмещение ущерб установить автомобиль получить повреждение другой обстоятельство страховой случай наступить  >по данные факт возбудить уголовный дело признак преступление предусмотренный ст 30 ук рф приготовление преступление покушение преступление ст 159.5 ук рф мошенничество сфера страхование отношение подозревать избрать мера пресечение вид заключение стража  >ть настоящее время полицейский проводить мероприятие направить установление дополнительный эпизод противоправный деятельность подозреваемых.<><>#мвд петровка38 полиция мошенничество страховка
7554,__label__russianpost,цифрадень цифрадня_почтароссия
7352,__label__russianpost,мир замереть ожидание новое фильм серия star wars декабрь выйти семь эпизод франшиза звёздный война пробуждение сила пока фанат ждать начало предварительный продажа билет британский почтовый служба royal mail выпустить блок почтовый марка посвятить киноэпопея изобразить персонаж некоторый космический корабль марка быть продаваться набор самый дорогой коллекционный вариант поступить продажа цена около 85 увы наш посткроссерам прийти открытка этот марка выпустить хождение внутри страны.<><>#марка марка звездныевойный starwars
3828,__label__mchsgov,памяткамчс годго мчс мчсроссия ><>сегодний рассказать какой бывать защитный сооружение каков вместимость использоваться мирный время
7157,__label__russianpost,друг отчаяться искать открытка который выразить ваш состояние просто взять самостоятельно сделать ><>брать картонный заготовка открытка кисть краска начинать выражать энергичный взмах несколько цветок широкий жест защитить стена половина вокруг мольберт ваш личный неповторимый открытка ждать свой адресат адресат ждать >особо педантичный натура мочь заламинировать лицевой сторона карточка выглядеть аккуратный свежее.<><>#открытка сделайс diy
4827,__label__mchsgov,маленькаяспасеннаяжизнь мчс мчсроссия ><>ный телефон единый служба спасение позвонить обеспокоить жительница село алексин тульский область сообщить середина река ока лёд застрять косуля ><>животный настолько долго сидеть ледяной западня мочь двигаться спасатель аккуратно вытащить животный вода лодка доставить берег далее замёрзнуть животный отогреть дом один местный житель косуля осмотреть приехать вызов егерь убедиться пострадать угрожать выпустить воля
737,__label__mil,официальный сайт минобороны россия режим реальный время продолжить трансляция камера видеонаблюдение установленный российский центр примирение враждовать сторона сирия район пункт пропуск мухайям аля-вафедина гуманитарный коридор предназначить выход мирный гражданин восточный гуты< >по предоставить гуманитарный коридор восточный гута содействие российский центр примирение враждовать сторона сирия продолжать выходить мирный население  >по гуманитарный коридор н.п мухайям аля-вафедина содействие российский центр продолжаться вывод мирный население город дума истекший сутки район покинуть 128 мирный житель 28 февраль с.г населить пункт организовать выход 29 230 человек  >продолжаться организовать российский центр примирение враждовать сторона сирия возвращение мирный житель освободить боевик населить пункт восточный гута сакб кафер-батный айн-тёрн замалёк хараста-эль-басалить другой также оказание гуманитарный медицинский помощь  >всего начало действие гуманитарный пауза восточный гута содействие российский центр примирение враждовать сторона организовать выход 153 140 человек  >российский центр примирение враждовать сторона подразделение военный полиция вооружённый сила российский федерация успешно завершить восьмидневный гуманитарный операция вывод незаконный вооружённый формирование населить пункт арбить джаубар айн-терма замалёк восточный гута  >по организовать гуманитарный коридор 31 март с.г вывезти 65 автобус провинция идлиб 2 935 боевик член семья 24 март данный район покинуть 41 126 боевик член семья >ный протяжение маршрут безопасность обеспечиваться сирийский полицейский контроль офицер российский центр примирение враждовать сторона представитель сирийский арабский красный полумесяц ><>#миноборона сирия цпвс мухайям восточнаягут трансляция live
1198,__label__mil,новороссийский начаться учение вдв слаживания десантно-штурмовой подразделение выполнение боев задача горно-лесистый местность условие меняться тактический обстановка  >десантник предстоять отработать действие наступление оборона практический применение комплекс разведка управление связь стрелец комплекс индивидуальный групповой защита рэб  >ть финал учение полигон раевский расчёт самоходный артиллерийский орудие 2с-9 нона бмд-2ка противотанковый ракетный комплекс выполнить стрельба мишень обозначать огневой точка бронетанковый техника другой объект условный противник  >#минобороны юво вдв артиллерия боеваяподготовка
632,__label__mil,приморье база аэродром центральный угловой пройти два этап конкурс авиадартс-2018 который принимать участие сильнейший лётчик восточный военный округа  >экипаж самолёт су-35 су-30см су-25 су-24мр миг-31 су-34 соревноваться выполнять полёт маршрут время точность проводить разведка местность осуществлять одиночный групповой пилотирование  >ть рамка конкурс лётчик проводить воздушный бой также применять неуправляемый авиационный ракета бомба авиационный пушка поражать наземный мишень ><>#миноборона арми2018 авиадартс
4239,__label__mchsgov,гвоздь делать этот человек крепкий мир гвоздей!<><>тематика взять стихотворение николай тихонов баллада гвоздях».<><>чернышев евгений николай 31.08.1963 20.03.2010<>российский советский пожарный начальник служба пожаротушение фпс гу мчс россия город москве.<><>активист проект паблик-арт реализовать задумка автор который выступить андрей смирнов
4315,__label__mchsgov,мчс мчсроссия ><>врач вцэрма а.м никифоров мчс россия провести уникальный операцию.<><>http://www.mchs.gov.ru/dop/info/smi/news/item/33202153
2377,__label__mil,ударный вертолёт ми-24 крокодил
10689,__label__mospolice,квартира северо-восток столица изъять марихуана ><>участковый уполномоченный полиция омвд россия район лосиноостровский задержать ранее судить 46-летний москвич который свой квартира выращивать наркосодержащий растение  >ть ход отработка жилой сектор полицейский проверить квартира стартовый улица проживать мужчина обнаружить помещение горшок растение банка неизвестный вещество согласно провести исследование изъять материал являться наркотический средство марихуана общий вес 300 грамм  >ть комната соблюдаться температурный режим установить лампа необходимый предмет поддержка микроклимат слово мужчина растение выращивать собственный потребление  >по дать факт возбудить уголовный дело признак состав преступление предусмотренный число 2 ст 228 ук рф незаконный приобретение хранение перевозка изготовление переработка наркотический средство психотропный вещество аналог отношение подозревать избрать мера пресечение вид подписка невыезде.<><>#мвд петровка38 полиция новость лосиноостровский наркотик
8155,__label__russianpost,почта россия пополнить парк почтовый вагонов<><>ть май-июнь 2014 год фгуп почта россия планировать провести сбор предложение лизинг 50 скоростной почтовый вагон улучшить параметр эксплуатации.<><>помить скоростной характеристика преимущество новый вагон состоять больший объесть полезный пространство перевозить почтовый отправление рейс.<><>начиный прошлое год почта россия подписать соглашение оао фпк почтовик стремиться активный использовать возможность скоростной железнодорожный транспорт это позволять значительно сократить срок доставка почта магистральный маршрут время повышение качественный показатель доставка почтовый корреспонденция посылка бандероль предприятие необходимый увеличивать количество почтовый вагон эксплуатировать состав скорый фирменный поездов.<><>ть настоящее время фгуп почта россия являться крупный собственник почтовый вагон рабочий парк количество 759 единица большой часть вагон использоваться состав пассажирский поезд 154 скоростной почтовый вагон задействовать 34 маршрут состав скорый фирменный поездов.<><>переть покупка 50 вагон новое образец фгуп почта россия смочь практически полностью удовлетворить потребность предприятие парка скоростной вагон 2014-2015 год сократить счёт срок доставка повысить качество сервиса.<><>приобретение новый вагон стать один этап инвестиционный программа обновление вагонный парк предприятие
5684,__label__mchsgov,техникамчс<><>уникальный многофункциональный робот мрк-35
592,__label__mil,чёрный мор проходить зачётный тактический учение два корабельный бригада  >корабль чф состав несколько тактический группа отрабатывать задача обнаружение отряд корабль ведение морской бой уничтожение десантный отряд условный противник  >корабельный ударный группа куг ракетный катер должный обнаружить десантный отряд противник нанести он условный ракетный удар цель предотвращение высадка морской десант  >ть очередь экипаж десантный корабль поставить задача сформировать десантный отряд уклониться куг условный противник выполнить имитация высадка морской десант побережье  >ть ход учение корабль два соединение входящая состав крымский военно-морской база выполнить артиллерийский стрельба морской воздушный береговой цель также отработать организация высадка морской десант  >#минобороныроссия вмф чф корабль учение
8382,__label__russianpost,письмо изменить мир.< >ть 1908 год левый толстой получить письмо индийский революционный деятель таракнат дас ищущий поддержка идея независимость индия ответ опубликовать журнал free hindustan название письмо индус который левый николай высказать мнение обретение независимость англия возможно ненасильственный метод ><>идея непротивление зло насилие изложить работа оказать сильный влияние молодой махатм ганди многое благодаря это письмо индия мирно отделиться англия 1947 году.<><>#интересно@russianpost
2461,__label__mil,фрагмент самолёт ил-2 который воевать лётчик-штурмовик герой советский союз акаев юсуп абдулабек поднять 2015 год аварийно-спасательный сила чф быть передать родной город фронтовик хранение буйнакский музей боев слава дагестан  >боевой крещение лётчик принять черноморский флот новороссийский свой полка один применить метод топмачтовый бомбометание способ поражение корабль противник использовать свойство авиабомба рикошетировать водный гладь черноморский флот лётчик называть мастер штурмовой удар  >ть 1943 юсуп акаев подбить вражеский зенитный орудие сесть вода лётчик 5 часы провести ледяной вода пока подобрать катер вмф ><>к июль 1944 год совершить 104 боев вылет уничтожить 18 различный корабль 3 паровоз 11 танк противник образцовый выполнение боев задание проявить мужество героизм капитан акаев юсуп абдулабек присвоить звание герой советский союз вручение орден ленин медаль золотой звезда  >из-за переохлаждение падение самолёт вода лётчик появиться проблема сердце 19 ноябрь 1949 год 28-ом год жизнь скончаться
8190,__label__russianpost,дельфин таффи доставлять почта водолаз ход эксперимента<><>двухметровый дельфин таффи поймать 1962 год стать участник эксперимент подводный лаборатория силаб-ii установленный побережье ла джолл калифорния сша глубина 64 м.<>благодарить специальный дрессировка бассейн исследовательский лаборатория пойнт мью-г дельфин мочь подходить зов туловище дельфин закрепить гидрофон подавать заблудиться водолаз спасательный конец доставлять почта инструмент надводный судный место работа дне.<><>http://www.barque.ru/horizon/1966/dolphin_taffy_participant_of_experiment
8849,__label__mospolice,женщина московский полиция ><>чистяков екатерина анатолий капитан полиция служить управление контроль оборот наркотик гу мвд россия год москва >под руководство внедрить ряд проект антинаркотический направленность разработать детский проект унк гу мвд россия год москва школа правопорядок направить профилактика рецидив совершение противоправный деяние сфера незаконный оборот наркотик >иметь юношеский разряд художественный гимнастика >з добросовестный исполнение служебный обязанность наградить памятный медаль 10 год фскна россия 2013 год правительственный медаль обеспечение безопасность неоднократно отметить благодарность руководство ><>#police mvdrussia мвд мвдроссия полиция полицияроссия мвд77 петровка38 8мартавкаждыйд 8март женщинывполиция
8290,__label__russianpost,особый серия марка пополнить филателистический коллекция сочи 2014»<><>филателистический лицензионный коллекция посвятить xxii олимпийский зимний игра паралимпийский зимний игра 2014 год сочи пополниться особа серия марка новый выпуск посвятить олимпийский вид спорт награда который получить спортсмен-победитель олимпийский зимний игра сочи торжественный гашение новое почтовый блок xxii олимпийский зимний игра 2014 год год сочи состояться отделение почтовый связь главный медиа центр игр-2014 церемония гашение принять участие руководитель федеральный агентство связь олег духовницкий президент оргкомитет сочи 2014 дмитрий чернышенко генеральный директор фгуп почта россия дмитрий страшнов.<><>новый серия состоять три отдельный марка каждый который изобразить золотой серебряный бронзовый медаль сочи 2014 создание выпуск впервые одновременно использовать вид металлизированный краска бронза серебро золото также конгревный тиснение дать технология делать новый медальный выпуск уникальный придавать изображение награда своеобразный 3d эффект прикосновение марка палец ощущаться настоящий миниатюрный медали.<><>тираж новое блок составить 150 тысяча каждый марка свой номинал марка изображение серебряный медаль 50 рубль золотой 75 рубль бронзовый 25 рубль размер блок 136х80 мм размер марка блок 37х26 26х37 мм выпуск также подготовить художественный обложка внутри который почтовый блок конверт первое день гашение москва санкт-петербург сочи.<><>ный поле каждый блок нанести специальный qr-код зашифровать ссылка официальный сайт игра 2014 год сочи http://www.sochi2014.com
9331,__label__mospolice,запад столица задержать подозревать сбыт государственный награда ><>участковый уполномоченный полиция омвд россия район проспект вернадский задержать подозревать сбыт десять государственный награда  >сотрудник полиция задержать 33-летний мужчина сбыть десять государственный награда два юбилейный медаль 20 год победа великий отечественный война 1941-1945 год юбилейный медаль 30 год победа великий отечественный война 1941-1945 год два юбилейный медаль 40 год победа великий отечественный война 1941-1945 год два медаль ветеран труд ссср юбилейный медаль 50 год вооружённый сила ссср юбилейный медаль 60 год вооружённый сила ссср юбилейный медаль 70 год вооружённый сила ссср слово задержать награда достаться родственник  >исследование установить награда являться подлинный представлять историко-культурный ценность  >отделение дознание омвд россия район проспект вернадский год москва возбудить уголовный дело признак преступление предусмотренный ст 324 ук рф приобретение сбыт официальный документ государственный награда отношение подозревать избрать мера пресечение вид подписка невыезд  >ть настоящее время сотрудник полиция проводить мероприятие направить установление законный владелец наград.<><>#police mvdrussia мвд мвдроссия полиция полицияроссия мвд77 петровка38 госнаграда проспектвернадский
1119,__label__mil,минск состояться координационный совещание вопрос развитие сотрудничество вс рф беларусь область применение беспилотный летательный аппарат  >выслушать доклад представитель минобороны россия опыт применение бла антитеррористический операция сирия сторона поддержать предложение дальнейший развитие сотрудничество вооружённый сила государство снг область применение беспилотный летательный аппарат  >по итог совещание согласовать проект ряд документ вопрос развитие сотрудничество область применение бла рассмотрение очередной заседание комитет начальник штаб вооружённый сила государство участник содружество независимый государство  >#минобороны бла снг международнаядеятельность
